ISO3,country_code,country,country_en,source_iso3_values,iso3_resolution,row_count,admin_code_count,lat_lon_count,state_count,states_sample,first_year,last_year,month_values,year_month_count,first_year_month,last_year_month,overall_phase_nonmissing_rows,source_file
NER,NE,Niger,Niger,NER,source_ISO3,13132,67,134,7,Agadez; Diffa; Dosso; Maradi; Tahoua; Tillabéri; Zinder,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1397,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
NGA,NG,Nigeria,Nigeria,NGA,source_ISO3,106820,545,1090,27,Abia; Adamawa; Bauchi; Benue; Borno; Cross River; Edo; Enugu; Federal Capital Territory; Gombe,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,6538,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
PAK,PK,Pakistan,Pakistan,PAK,source_ISO3,31164,159,318,3,Balochistan; Khyber Pakhtunkhwa; Sindh,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,652,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
PSE,PS,Palestinian Territory,"Palestine, State of",PSE,source_ISO3,1176,6,11,0,,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,34,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SDN,SD,Sudan,Sudan,SDN,source_ISO3,48412,247,478,17,Al Qadarif State; Blue Nile State; Central Darfur State; East Darfur State; Gezira State; Kassala State; Khartoum State; North Darfur State; North Kordofan State; Northern State,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1508,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SEN,SN,Senegal,Senegal,SEN,source_ISO3,8624,44,88,2,Région de Dakar; Région de Fatick,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,996,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SLE,SL,Sierra Leone,Sierra Leone,SLE,source_ISO3,3136,16,32,15,Bo District; Bombali District; Bonthe District; Eastern Province; Kambia District; Kenema District; Koinadugu District; Kono District; Moyamba District; North Western Province,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,252,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SLV,SV,El Salvador,El Salvador,SLV,source_ISO3,3724,19,38,14,Departamento de Ahuachapán; Departamento de Cabañas; Departamento de Chalatenango; Departamento de Cuscatlán; Departamento de La Libertad; Departamento de La Paz; Departamento de La Unión; Departamento de Morazán; Departamento de San Miguel; Departamento de San Salvador,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,120,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SOM,SO,Somalia,Somalia,SOM,source_ISO3,177364,905,1427,19,Awdal; Bakool; Banaadir; Bari; Bay; Galgaduud; Gedo; Hiiraan; Lower Juba; Lower Shabelle,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,5912,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SSD,SS,South Sudan,South Sudan,SSD,source_ISO3,30952,158,313,12,Central Equatoria; Eastern Equatoria; Greater Pibor Administrative Area; Jonglei; Lakes; Northern Bahr el Ghazal; Ruweng Administrative Area; Unity; Upper Nile; Warrap,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1471,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
SWZ,SZ,Eswatini,Eswatini,SWZ,source_ISO3,4116,21,42,4,Hhohho Region; Lubombo; Manzini Region; Shiselweni,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,112,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
TCD,TD,Chad,Chad,TCD,source_ISO3,13524,69,138,22,Barh el Gazel بحر الغزال; Batha البطحة; Borkou بوركو; Chari-Baguirmi شاري باقرمي; Ennedi Est إنيدي الشرقية; Ennedi Ouest إنيدي الغربية; Guéra قيرا; Hadjer-Lamis حجر لميس; Kanem كانم; Lac البحيرة,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1570,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
TGO,TG,Togo,Togo,TGO,source_ISO3,8036,41,82,5,Région Centrale; Région Maritime; Région de la Kara; Région des Plateaux; Région des Savanes,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,608,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
TJK,TJ,Tajikistan,Tajikistan,TJK,source_ISO3,392,2,4,1,Gorno-Badakhshan Autonomous Region,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,19,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
TLS,TL,East Timor,Timor-Leste,TLS,source_ISO3,2744,14,28,14,Aileu; Ainaro; Atauro; Baucau; Bobonaro; Cova Lima; Dili; Ermera; Lautém; Liquiçá,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,28,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
TZA,TZ,Tanzania,"Tanzania, United Republic of",TZA,source_ISO3,12936,66,131,17,Arusha; Dodoma Region; Kagera; Kilimanjaro; Manyara Region; Mara Region; Mwanza Region; North Pemba; Shinyanga Region; Simiyu,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,304,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
UGA,UG,Uganda,Uganda,UGA,source_ISO3,20776,106,187,49,Abim; Adjumani; Amudat; Amuria; Arua; Bukedea; Central Region; Gulu; Hoima; Isingiro,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,634,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
YEM,YE,Yemen,Yemen,YEM,source_ISO3,117208,598,1195,22,Abyan Governorate; Ad Dali' Governorate; Aden Governorate; Al Bayda' Governorate; Al Hudaydah Governorate; Al Jawf Governorate; Al Mahrah Governorate; Al Mahwit Governorate; Amanat Al Asimah; Amran Governorate,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1971,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
ZAF,ZA,South Africa,South Africa,ZAF,source_ISO3,6664,34,68,9,Eastern Cape; Free State; Gauteng; KwaZulu-Natal; Limpopo; Mpumalanga; North West; Northern Cape; Western Cape,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,52,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
ZMB,ZM,Zambia,Zambia,ZMB,source_ISO3,43904,224,448,10,Central Province; Copperbelt Province; Eastern Province; Luapula Province; Lusaka Province; Muchinga Province; North-Western Province; Northern Province; Southern Province; Western Province,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,925,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
ZWE,ZW,Zimbabwe,Zimbabwe,ZWE,source_ISO3,11760,60,120,8,Manicaland Province; Mashonaland Central Province; Mashonaland East Province; Mashonaland West Province; Masvingo Province; Matabeleland North Province; Matabeleland South Province; Midlands Province,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,288,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
